income,debtRatio,latePayments,creditUtilization,risk
3201.46,0.063427,3,0.058479,0
8456.32,0.014939,3,0.195354,0
14110.80,0.060853,3,0.622161,0
9186.71,0.194669,0,0.673753,0
12177.41,0.396894,5,0.477377,1
11369.85,0.162821,5,0.480690,0
11414.41,0.212701,1,0.413627,0
13699.57,0.836488,5,0.799340,1
8805.63,0.678072,3,0.582862,1
8878.77,0.092183,4,0.176938,0
7475.17,0.945777,3,0.161754,1
3643.14,0.113588,5,0.677857,1
10437.51,0.231126,1,0.800074,0
3131.76,0.331815,3,0.343162,1
6671.08,0.515051,4,0.857530,1
8382.23,0.706149,1,0.642559,1
12788.89,0.658179,3,0.116003,0
10669.06,0.827878,2,0.690347,1
5855.61,0.895764,1,0.367946,1
4390.05,0.406228,4,0.515588,1
2053.09,0.196765,0,0.190249,0
5464.04,0.838057,2,0.157060,1
8996.73,0.866616,1,0.154863,0
9900.67,0.254516,4,0.313170,0
10607.16,0.117461,5,0.882910,1
14574.37,0.778729,0,0.979053,0
2132.71,0.221282,0,0.150782,0
7406.80,0.942345,2,0.075692,1
3656.66,0.683107,1,0.179709,0
2526.54,0.093235,5,0.231514,1
10417.72,0.583604,2,0.244528,0
4059.60,0.687076,4,0.976264,1
4464.48,0.370837,1,0.589882,0
13426.45,0.206142,0,0.341834,0
3455.13,0.314355,5,0.349325,1
6588.98,0.778433,2,0.093160,1
5816.74,0.423333,2,0.373409,0
8691.00,0.995066,1,0.561568,1
13686.66,0.255871,0,0.022710,0
12742.56,0.852523,0,0.149147,0
7486.17,0.698169,2,0.974511,1
5974.53,0.686382,5,0.978751,1
8755.89,0.848413,2,0.097558,0
6752.39,0.230547,1,0.710999,0
12682.27,0.317991,5,0.797603,1
8635.37,0.625557,2,0.233411,0
5860.32,0.126029,0,0.514974,0
10754.72,0.123745,1,0.883928,0
4842.24,0.562082,3,0.351204,1
8385.20,0.074688,5,0.856084,1
14035.46,0.915639,3,0.661609,1
10168.92,0.829841,2,0.487494,1
11796.33,0.998480,0,0.581523,1
12093.58,0.318543,3,0.286539,0
8303.17,0.937352,2,0.853450,1
6847.32,0.366372,3,0.148743,0
4784.33,0.841444,2,0.346769,1
2217.83,0.427999,3,0.432635,1
3827.96,0.552265,5,0.375716,1
6490.11,0.526976,2,0.524816,1
13897.38,0.175993,5,0.298009,0
2438.08,0.444440,0,0.856464,1
10825.59,0.466668,1,0.793196,0
3202.62,0.985192,2,0.161090,1
7482.95,0.044311,4,0.321414,0
8701.62,0.745910,1,0.834248,1
9770.45,0.749324,5,0.940049,1
4809.05,0.122576,1,0.946744,0
4402.71,0.071149,4,0.977586,1
13155.94,0.937131,5,0.780714,1
8907.67,0.526278,4,0.214186,1
12511.33,0.061138,4,0.693994,0
14180.71,0.804915,5,0.957978,1
2474.83,0.238350,1,0.804249,0
7896.23,0.537544,0,0.247542,0
9873.72,0.082054,4,0.285439,0
6124.96,0.290643,3,0.762816,1
14920.81,0.560654,1,0.438294,0
8242.78,0.937629,4,0.660392,1
5921.10,0.614183,1,0.555966,1
7705.76,0.128771,5,0.923101,1
6249.15,0.831309,1,0.749808,1
11157.57,0.899186,4,0.455932,1
3700.61,0.896838,4,0.239278,1
14786.24,0.934981,3,0.847120,1
7869.14,0.116698,2,0.079414,0
6296.49,0.369846,1,0.433700,0
2076.49,0.574801,3,0.905219,1
2628.61,0.498145,5,0.539559,1
2007.67,0.565952,2,0.496694,1
9437.15,0.985996,1,0.321853,1
10278.31,0.759213,1,0.945868,1
5846.64,0.774943,1,0.075340,0
2461.09,0.485044,4,0.261985,1
4908.85,0.395560,2,0.992125,1
5445.11,0.667432,3,0.156639,1
2198.64,0.405838,5,0.740194,1
7402.32,0.529335,0,0.796222,0
6599.21,0.741141,5,0.327391,1
11816.15,0.795108,5,0.797393,1
9763.03,0.456538,2,0.941750,1
11605.47,0.152268,4,0.759830,0
8788.62,0.266549,4,0.331006,0
9635.69,0.502178,5,0.742366,1
10057.34,0.949597,2,0.128666,1
13924.01,0.153289,0,0.620486,0
12363.52,0.973638,2,0.502915,1
13556.90,0.607668,5,0.193165,1
10452.58,0.545500,0,0.330307,0
11049.49,0.995717,1,0.588014,1
11992.33,0.571697,1,0.983947,1
8246.16,0.039597,4,0.410558,0
8714.66,0.216556,2,0.643555,0
3861.93,0.995059,0,0.904572,1
4707.08,0.965914,0,0.432023,1
10360.11,0.320098,2,0.882725,0
13938.50,0.808937,4,0.230413,1
6509.23,0.491122,4,0.752041,1
5308.85,0.702808,0,0.916413,1
10298.44,0.413018,4,0.849792,1
8747.72,0.237645,4,0.854249,1
11530.50,0.293153,3,0.481967,0
8552.84,0.918738,3,0.135770,1
6256.75,0.651877,2,0.693735,1
7834.00,0.562459,4,0.276971,1
5410.35,0.786952,0,0.223037,0
14413.55,0.764081,0,0.518346,0
4710.72,0.851376,3,0.813378,1
13457.11,0.019768,1,0.066701,0
14780.85,0.774749,2,0.458200,0
4840.43,0.063549,2,0.384540,0
8841.26,0.637968,0,0.432961,0
5297.67,0.662218,5,0.218057,1
4360.16,0.151173,1,0.431183,0
4133.35,0.929705,3,0.061868,1
12716.37,0.611352,5,0.141619,1
8982.53,0.209505,4,0.587815,1
2273.39,0.795502,0,0.744663,1
7691.48,0.753510,3,0.643111,1
11801.84,0.052348,3,0.258433,0
3763.65,0.368367,1,0.269781,0
13559.92,0.028217,5,0.806826,0
6192.73,0.588198,2,0.769484,1
4350.33,0.787514,2,0.294615,1
4912.49,0.867406,0,0.841893,1
13188.11,0.359978,3,0.921981,1
7759.44,0.110928,5,0.639090,1
6642.91,0.958305,1,0.063757,1
10257.72,0.685384,3,0.550961,1
10998.67,0.363259,3,0.115588,0
9081.40,0.773052,4,0.815250,1
6545.51,0.092300,3,0.760063,0
12707.95,0.371874,3,0.056400,0
5725.64,0.755650,3,0.055908,1
4401.45,0.988775,0,0.946424,1
9972.24,0.124575,0,0.045431,0
13161.30,0.414645,5,0.379842,1
7960.99,0.433226,3,0.249127,0
13747.46,0.897213,0,0.533804,0
4524.64,0.871238,5,0.307158,1
10258.03,0.875336,2,0.930342,1
9757.57,0.434330,3,0.883249,1
8088.74,0.353363,4,0.396436,1
11702.50,0.719157,3,0.276201,1
4885.67,0.816364,5,0.758465,1
6040.12,0.375994,0,0.968539,0
12870.00,0.134288,2,0.592692,0
5714.46,0.488589,1,0.861996,1
3721.05,0.294437,4,0.105775,1
12369.96,0.860841,5,0.872729,1
7978.29,0.749016,2,0.799302,1
5900.56,0.375346,4,0.604685,1
3502.18,0.146466,3,0.380144,0
7391.64,0.863982,3,0.408903,1
13108.18,0.924528,0,0.784317,1
9671.00,0.882041,3,0.149398,1
11510.52,0.606849,1,0.156168,0
12417.62,0.821971,4,0.288814,1
6332.11,0.420295,1,0.166363,0
8647.30,0.489958,0,0.054103,0
11667.38,0.246282,4,0.451203,0
14347.76,0.500778,3,0.015931,0
13038.63,0.937851,1,0.360703,0
14456.09,0.601956,0,0.920289,0
7381.20,0.714656,3,0.890252,1
6602.08,0.343221,1,0.871880,0
9772.23,0.660235,4,0.121071,1
10189.74,0.998925,5,0.092885,1
